,id_filma,zanr,id_rezisera,id_glumca1,id_glumca2,ocena,mesec_izlaska,br_oskara_rezisera,br_dr_nagrada_rezisera,br_oskara_glumca1,br_dr_nagrada_glumca1,br_oskara_glumca2,br_dr_nagrada_glumca2
1890,tt3705412,"Action, Comedy, Horror",nm3950520,nm1498725,nm4014281,6.3,October,0,2,0,0,0,0
1891,tt1316540,Drama,nm0850601,nm0220729,nm0126969,7.8,March,0,24,0,0,0,0
1892,tt2262315,"Crime, Drama, Horror",nm1227484,nm0001001,nm2383250,6.3,August,0,0,1,8,0,2
1893,tt2034139,"Horror, Thriller",nm1424878,nm0068042,nm3400186,4.0,March,0,7,0,3,0,3
1894,tt3864056,Drama,nm1259871,nm4625502,nm5052065,6.3,September,0,18,0,0,0,9
1895,tt0492389,"Comedy, Family",nm0474955,nm0000409,nm0000222,3.8,April,0,0,0,8,0,14
1896,tt1183374,"Horror, Thriller",nm2165066,nm0597480,nm0989959,5.7,December,0,9,0,10,0,4
1897,tt1996264,Comedy,nm1637474,nm0310966,nm1601643,6.0,November,0,12,0,2,0,0
1898,tt3501112,"Action, Crime, Thriller",nm0221662,nm0000104,nm0001426,5.7,March,0,0,1,62,1,47
1899,tt3111426,"Drama, Mystery, Thriller",nm0305017,nm0752407,nm5057169,6.1,March,2,16,1,39,0,7
1900,tt1316622,"Adventure, Drama, Mystery",nm1042371,nm0004778,nm0223518,5.3,June,0,0,1,13,0,0
1901,tt8096832,"Adventure, Comedy, Drama",nm0063769,nm1935086,nm0857620,6.3,November,0,0,0,14,0,0
1902,tt7390646,"Action, Crime, Thriller",nm1938064,nm0365140,nm0879085,6.4,October,0,4,1,23,0,3
1903,tt5913798,"Drama, Horror, Mystery",nm2035118,nm2309517,nm5939164,4.0,October,0,16,0,9,0,0
1904,tt1361318,"Action, Crime, Thriller",nm0313227,nm0290556,nm0005028,5.5,August,1,23,1,51,1,17
1905,tt3480796,"Action, Sci-Fi, Thriller",nm2357819,nm0005048,nm0000246,4.2,January,0,0,0,3,0,20
1906,tt3685236,"Comedy, Romance",nm2795127,nm9864675,nm1843026,5.2,May,0,0,0,0,0,4
1907,tt3707104,"Drama, Fantasy, Thriller",nm1764586,nm2309517,nm1834115,5.9,October,0,4,0,9,0,0
1908,tt5805752,"Comedy, Drama",nm5050824,nm3324982,nm0000434,7.3,September,0,5,0,0,0,23
1909,tt5536610,"Comedy, Drama",nm0420982,nm1063517,nm0316079,7.2,October,1,9,0,2,1,46
1910,tt5822564,"Action, Crime, Drama",nm0075696,nm0565250,nm1840504,5.5,August,1,0,2,37,0,15
1911,tt2247476,"Drama, Sport",nm0141961,nm0001029,nm1573253,6.7,August,0,3,0,5,0,3
1912,tt4341582,"Biography, Drama, Sport",nm0619762,nm8136461,nm0654648,7.4,September,0,32,0,0,0,19
1913,tt3125324,"Drama, Music, Romance",nm0697656,nm1813221,nm1676649,6.9,November,0,11,0,7,0,8
1914,tt9606374,"Adventure, Comedy, Drama",nm0001068,nm0000195,nm0429069,6.5,October,1,57,1,53,0,5
1915,tt5195412,Drama,nm0842523,nm0186505,nm0004950,6.3,May,1,4,1,57,0,11
1916,tt2331047,"Drama, Mystery, Sci-Fi",nm0657372,nm0227759,nm2087116,6.2,August,0,0,0,26,0,0
1917,tt3095734,"Action, Adventure, Comedy",nm0917188,nm1395771,nm3994408,5.6,January,1,5,0,0,0,0
1918,tt1554091,"Drama, Romance",nm0919363,nm0065007,nm1214509,7.2,July,1,3,1,8,0,0
1919,tt7671064,"Comedy, Drama",nm2375463,nm3255459,nm0242177,6.8,October,0,0,9,0,0,0
1920,tt4882376,"Biography, Drama, History",nm0001401,nm8801745,nm6232988,7.2,September,1,56,0,0,0,0
1921,tt0376479,"Crime, Drama",nm0000191,nm0000191,nm0000124,6.1,October,0,30,0,30,1,14
1922,tt9860728,"Comedy, Romance",nm0474955,nm0587396,nm3699960,5.6,August,0,0,0,0,0,0
1923,tt4015500,"Biography, Drama, Mystery",nm2060706,nm0000368,nm0728762,7.3,May,0,10,1,57,0,0
1924,tt2345112,"Drama, History, Mystery",nm1481618,nm1374980,nm0919991,6.4,October,0,0,0,34,0,0
1925,tt1969062,"Comedy, Drama, Romance",nm0285379,nm0749263,nm0757855,7.0,June,0,8,3,31,0,16
1926,tt1545754,"Comedy, Drama",nm1980806,nm0005562,nm0302108,5.3,August,0,18,1,15,0,20
1927,tt3704538,"Horror, Thriller",nm1918140,nm6933414,nm3694593,4.2,October,0,8,0,0,0,0
1928,tt6205872,"Action, Comedy, Crime",nm0506094,nm3747611,nm8821143,5.9,September,0,0,0,9,0,0
1929,tt4009460,"Comedy, Family",nm0229544,nm0131647,nm0229544,1.4,November,0,0,0,9,0,0
1930,tt3658772,"Crime, Drama, Mystery",nm0989941,nm0241049,nm0000164,5.3,February,0,0,0,3,1,52
1931,tt1781827,"Biography, Drama, Sport",nm1189755,nm1183149,nm0713378,6.6,August,0,0,0,11,0,22
1932,tt4951982,"Action, Adventure, Drama",nm0899121,nm0774386,nm2244205,6.6,November,0,53,0,16,0,17
1933,tt1520498,"Adventure, Family, Fantasy",nm0224683,nm0005326,nm0001458,2.1,August,1,9,0,5,1,24
1934,tt2126235,"Action, Crime, Thriller",nm2123102,nm0396558,nm0428065,5.7,August,0,3,0,11,1,12
1935,tt1701990,"Comedy, Horror, Mystery",nm0994538,nm1242688,nm2632793,5.7,April,0,9,0,19,0,0
1936,tt1975159,"Drama, Family, Horror",nm1234345,nm0004753,nm0477127,4.8,July,0,2,0,2,0,0
1937,tt1604171,"Comedy, Drama, Family",nm0638271,nm1631435,nm2973459,5.4,April,0,5,0,2,0,0
1938,tt2083355,"Comedy, Drama",nm0002700,nm0004793,nm0004820,6.7,November,0,3,0,3,0,2
1939,tt6587640,"Animation, Adventure, Comedy",nm0230666,nm0447695,nm0005493,6.1,April,0,0,1,18,1,53
1940,tt1935902,"Comedy, Fantasy, Thriller",nm1310794,nm1017334,nm0029400,6.4,April,0,0,0,3,0,6
1941,tt3774466,"Comedy, Crime, Drama",nm1110111,nm0000620,nm1822659,6.4,September,1,33,1,39,0,4
1942,tt1878841,"Horror, Thriller",nm0572562,nm0000102,nm0593664,4.4,May,0,2,0,15,0,25
1943,tt1698648,Comedy,nm0075849,nm1325419,nm0000906,5.8,July,1,22,1,13,4,54
1944,tt3748440,"Comedy, Sport",nm0002973,nm2024927,nm1794688,5.8,February,0,3,0,2,0,0
1945,tt1013860,"Action, Comedy, Crime",nm1083489,nm0746125,nm1715194,5.1,April,0,0,0,6,0,0
1946,tt5893332,Comedy,nm0109359,nm0001191,nm1617685,5.2,April,0,2,0,63,1,44
1947,tt5688996,"Comedy, Drama, Romance",nm2574897,nm9912940,nm4618729,6.3,June,0,0,0,0,0,3
1948,tt2043933,"Drama, Thriller",nm0716980,nm0251986,nm0266824,6.0,April,0,15,1,21,0,17
1949,tt4270516,"Comedy, Drama",nm0919369,nm0005499,nm3400186,6.7,September,1,2,1,45,0,3
1950,tt1883367,"Comedy, Crime, Horror",nm1519353,nm0489504,nm4030776,2.7,June,0,2,0,3,0,0
1951,tt7048622,"Crime, Drama, Thriller",nm0234780,nm2316384,nm3517807,7.7,September,0,29,0,2,0,2
1952,tt1911662,"Action, Thriller",nm4320125,nm0908094,nm3922858,4.9,February,0,0,0,7,0,0
